Rating,RatingSource,imdbID
 6.8/10, Internet Movie Database,tt0025597
 7.4/10, Internet Movie Database,tt0021959
 4.0/10, Internet Movie Database,tt0009696
 5.3/10, Internet Movie Database,tt0019288
 5.9/10, Internet Movie Database,tt0001217
 6.0/10, Internet Movie Database,tt0024779
 6.6/10, Internet Movie Database,tt0018106
 6.4/10, Internet Movie Database,tt0007454
 6.4/10, Internet Movie Database,tt0011735
 5.3/10, Internet Movie Database,tt0029289
 3.7/10, Internet Movie Database,tt0029783
 5.6/10, Internet Movie Database,tt0017013
 6.0/10, Internet Movie Database,tt0018887
 4.4/10, Internet Movie Database,tt0023000
 4.7/10, Internet Movie Database,tt0029649
 4.9/10, Internet Movie Database,tt0019684
 7.1/10, Internet Movie Database,tt0015498
 5.1/10, Internet Movie Database,tt0025651
 7.3/10, Internet Movie Database,tt0021873
 91%, Rotten Tomatoes,tt0021873
 6.8/10, Internet Movie Database,tt0025630
 6.6/10, Internet Movie Database,tt0000624
 6.1/10, Internet Movie Database,tt0027564
 6.3/10, Internet Movie Database,tt0016123
 5.3/10, Internet Movie Database,tt0000910
 6.6/10, Internet Movie Database,tt0021607
 6.9/10, Internet Movie Database,tt0017292
 7.2/10, Internet Movie Database,tt0025071
 6.2/10, Internet Movie Database,tt0015290
 6.2/10, Internet Movie Database,tt0024609
 7.4/10, Internet Movie Database,tt0019901
 71%, Rotten Tomatoes,tt0019901
 7.3/10, Internet Movie Database,tt0024144
 4.3/10, Internet Movie Database,tt0002162
 5.5/10, Internet Movie Database,tt0028568
 5.8/10, Internet Movie Database,tt0014946
 7.1/10, Internet Movie Database,tt0030229
 5.3/10, Internet Movie Database,tt0011094
 6.3/10, Internet Movie Database,tt0007031
 7.2/10, Internet Movie Database,tt0021922
 5.5/10, Internet Movie Database,tt0025855
 6.6/10, Internet Movie Database,tt0027188
 7.0/10, Internet Movie Database,tt0025890
 7.8/10, Internet Movie Database,tt0023948
 100%, Rotten Tomatoes,tt0023948
 6.9/10, Internet Movie Database,tt0023646
 5.3/10, Internet Movie Database,tt0019131
 7.2/10, Internet Movie Database,tt0026514
 6.5/10, Internet Movie Database,tt0026805
 6.6/10, Internet Movie Database,tt0028020
 6.6/10, Internet Movie Database,tt0013158
 6.1/10, Internet Movie Database,tt0008961
