Person,Responsibility,imdbID
Ernest Vajda,story,tt0016750
Franz Schulz,story,tt0025597
Billy Wilder,story,tt0025597
Mary H. O'Connor,story,tt0008122
Eugene B. Lewis,screenplay,tt0009696
Eugene B. Lewis,story,tt0009696
Tay Garnett,screenplay,tt0019288
Tay Garnett,story,tt0019288
John W. Krafft,titles,tt0019288
L. Frank Baum,novel,tt0024779
H.M. Walker,titles,tt0018106
Al J. Jennings,story,tt0008042
Alexandre Dumas,novel,tt0007454
J.G. Hawks,scenario,tt0007454
Amleto Palermi,screenplay,tt0011735
Edmond Kelso,story,tt0029289
Edmond Kelso,screenplay,tt0029289
Ákos Tolnay,story,tt0029783
Marjorie Deans,story,tt0029783
Reginald Long,screenplay,tt0029783
Patrick Kirwan,screenplay,tt0029783
Templar Saxe,story,tt0005976
Gerald Beaumont,story,tt0017013
Paul Schofield,scenario,tt0017013
George Marion Jr.,titles,tt0017013
I.A.R. Wylie,novel,tt0016073
John McDermott,story,tt0018887
John W. Kellette,scenario,tt0004800
Peter B. Kyne,novel,tt0023000
Basil Dickey,continuity,tt0023000
George H. Plympton,continuity,tt0023000
Ella O'Neill,adaptation,tt0023000
John B. Clymer,story,tt0029649
Joseph O'Donnell,screenplay,tt0029649
Stanley Roberts,screenplay,tt0029649
Earl Derr Biggers,novel,tt0019684
George Middleton,adaptation,tt0019684
Joseph Hergesheimer,by,tt0015498
King Vidor,adapted by,tt0015498
Tom Miranda,titles,tt0015498
Louis Weitzenkorn,based on the play by,tt0021873
Byron Morgan,screen play,tt0021873
Robert Lord,adaptation,tt0021873
Daniel Kusell,play,tt0025630
S.K. Lauren,screenplay,tt0025630
Arthur T. Horman,screenplay,tt0027564
Paul Perez,story,tt0027564
Ewart Adamson,story,tt0027564
Arthur T. Horman,adaptation,tt0027564
Frank Roland Conklin,scenario,tt0012282
Scott Darling,story,tt0012282
Paul Armstrong,play,tt0025093
Joseph Ernest Peat,story,tt0025093
Stuart Anthony,screenplay,tt0025093
Henry Johnson,screenplay,tt0025093
Roland West,stage production,tt0016123
Crane Wilbur,stage play,tt0016123
Willard Mack,scenario,tt0016123
Albert Kenyon,scenario,tt0016123
C. Gardner Sullivan,titles by,tt0016123
Roland West,adapted by,tt0016123
Harry Dittmar,story,tt0013531
Theodore Dreiser,novel,tt0021607
Samuel Hoffenstein,screenplay,tt0021607
Isadore Bernstein,scenario,tt0014893
Walter J. Coburn,story,tt0014893
René Clair,adaptation,tt0017292
Armand Mercier,novel,tt0017292
Lenore J. Coffee,adaptation,tt0015290
Ethel M. Dell,novel,tt0015290
Bernard McConville,adaptation,tt0015290
Bradford Ropes,novel,tt0024609
Bradford Ropes,screenplay,tt0024609
Sidney M. Goldin,scenario,tt0005607
Peter B. Kyne,screenplay,tt0012983
Peter B. Kyne,story,tt0012983
Peter B. Kyne,titles,tt0012983
Thea von Harbou,novel,tt0019901
Fritz Lang,screenplay,tt0019901
Hermann Oberth,scientific material,tt0019901
Thea von Harbou,manuscript,tt0019901
Harold Shumate,screenplay,tt0016189
Harold Shumate,story,tt0016189
Hettie Grey Baker,scenario,tt0003283
Herbert Trench,poem,tt0003283
Austin Parker,screen play,tt0024144
Sheridan Gibney,screen play,tt0024144
Joseph Santley,from the story by,tt0024144
Harvey Gates,scenario,tt0005649
A.M. Williamson,story,tt0005649
C.N. Williamson,story,tt0005649
Don Bartlett,story,tt0009012
Leo McCarey,story,tt0020087
Marion Jackson,screenplay,tt0018076
Marion Jackson,story,tt0018076
Ian Hay,play,tt0015892
Jack Townley,screenplay,tt0028568
Jerome Chodorov,screenplay,tt0028568
Richard English,story,tt0028568
Howard J. Green,adaptation,tt0019319
Cosmo Hamilton,story,tt0019319
Bobby Vernon,story,tt0024673
Frank Griffin,story,tt0024673
Wilson Collison,play,tt0014946
Avery Hopwood,play,tt0014946
Gerald Beaumont,story,tt0019512
Casey Robinson,titles,tt0019512
Waldemar Young,scenario,tt0008568
Lynn Reynolds,scenario,tt0008568
Gerald Geraghty,story,tt0030229
Curt Siodmak,story,tt0030229
Joseph Moncure March,screenplay,tt0030229
Lillie Hayward,screenplay,tt0030229
Eddie Welch,screenplay,tt0030229
Louis Joseph Vance,novel,tt0011094
E.V. Durling,story,tt0007031
William Hurlbut,screenplay,tt0021922
John A. Moroso,novel,tt0016209
Marion Orth,adaptation,tt0016209
Kathlyn Williams,story,tt0008218
Max Marcin,play,tt0009202
Charles E. Whittaker,scenario,tt0009202
Forrest Sheldon,screenplay,tt0014719
Forrest Sheldon,story,tt0014719
F. Hugh Herbert,screenplay,tt0027188
Brown Holmes,screenplay,tt0027188
Erwin S. Gelsey,adaptation,tt0027188
George Bilson,story,tt0027188
Ishbel Ross,novel,tt0025890
Frances Marion,screen play,tt0023948
Herman J. Mankiewicz,screen play,tt0023948
George S. Kaufman,from the Sam H. Harris stage play by,tt0023948
Edna Ferber,from the Sam H. Harris stage play by,tt0023948
Donald Ogden Stewart,additional dialogue,tt0023948
Viña Delmar,based on a story,tt0023646
Warren Duff,screenplay,tt0023646
Alice M. Williamson,story,tt0019131
C.N. Williamson,story,tt0019131
William V. Mong,scenario,tt0007685
Lawrence Hazard,story,tt0026514
Vera Caspary,screenplay,tt0026514
Sidney Buchman,screenplay,tt0026514
Alice Tisdale Hobart,by,tt0026805
Laird Doyle,screen play,tt0026805
Charles Harris,story,tt0006270
H.M. Walker,dialogue,tt0020972
W.P. Lipscomb,story,tt0028417
Reginald Pound,story,tt0028417
Benjamin Glazer,adaptation,tt0015876
William Vaughn Moody,play,tt0015876
James J. Tynan,novel,tt0015876
Robert Dillon,screenplay,tt0013527
Robert Dillon,story,tt0013527
S.N. Behrman,screen play,tt0030018
Sonya Levien,screen play,tt0030018
Leo McCarey,original story,tt0030018
Frank R. Adams,original story,tt0030018
Georgette Duchesne,adaptation,tt0013754
Donald McGibney,story,tt0013754
Peter Milne,adaptation,tt0013754
Nate Gatzert,story,tt0027322
Nate Gatzert,screenplay,tt0027322
Henry Pettitt,play,tt0020151
G.R. Sims,play,tt0020151
Robert N. Lee,screen play,tt0024040
Peter Milne,screen play,tt0024040
Robert N. Lee,from the story by,tt0024040
Bud Fisher,comic strip,tt0003183
Bud Fisher,screenplay,tt0003183
Gaston Leroux,from the 1910 celebrated novel by,tt0016220
Francis Marion Crawford,novel,tt0014605
Will M. Ritchey,titles,tt0014605
Don Bartlett,titles,tt0014605
Charles Darrell,play,tt0004138
Harvey Gates,scenario,tt0007453
Peter B. Kyne,novel,tt0007453
Edward LeSaint,scenario,tt0007453
Michael Morton,play,tt0015508
Frederic Arnold Kummer,novel,tt0005837
George DuBois Proctor,scenario,tt0005837
Ferruccio Biancini,italian adaptation,tt0024949
Hans Fritz Köllner,screenplay,tt0024949
William Shakespeare,play,tt0001658
Fanny Hatton,dialogue,tt0020255
Frederic Hatton,dialogue,tt0020255
Frances Hyland,story,tt0020255
J. Grubb Alexander,screenplay,tt0011112
J. Grubb Alexander,story,tt0011112
Zane Grey,story,tt0022953
Gordon Rigby,adaptation,tt0022953
Georg Kaiser,play,tt0013152
Frank E. Woods,story,tt0015482
Izola Forrester,story,tt0009830
Mann Page,story,tt0009830
Kenean Buel,scenario,tt0009830
Alethea Luce,"from the play: ""Amos Judd"" by",tt0013802
